"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"948","Canon PowerShot SD1200 IS (Digital IXUS 95 IS)","161","Active","No","Battery Pack","Compact","Yes","3.5","Yes",NA,NA,"No","No","No","Optical","No","2.8","4.9","2.1",3,"Yes",230000,2.5,NA,"No","160","USB 2.0 (480 Mbit/sec)",1.4,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,NA,NA,NA,35,NA,NA,NA,86,55,22,104060,"No","Yes","No","Yes","No",7221
"949","Canon PowerShot SD780 IS (Digital IXUS 100 IS)","161","Active","No","Battery Pack","Ultracompact","Yes","3.5","Yes",NA,NA,"No","No","Yes","Optical","No","3.2","5.8","2.6",3,"Yes",230000,2.5,NA,"No","155","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,"None",NA,NA,NA,NA,NA,NA,87,56,18,87696,"No","Yes","No","Yes","No",9100
"950","Canon PowerShot A1100 IS","161","Active","No","AA","Compact","Yes","4","Yes",128,NA,"No","No","No","Optical","Yes","2.7","5.6","2.9",4,"Yes",115000,2.5,NA,"No","150","USB 2.0 (480 Mbit/sec)",1.1,NA,NA,"No","Yes","None","Mono",NA,4,NA,NA,"None",NA,NA,NA,NA,NA,NA,95,62,31,182590,"No","Yes","No","Yes","No",9100
"951","Canon PowerShot SX10 IS","598","Active","Yes","AA","SLR-like (bridge)","Yes","5.2","Yes",NA,NA,"No","Yes","No","Optical","Yes","2.8","5.7","2.9",20,"Yes",230000,2.5,NA,"No","600","USB 2.0 (480 Mbit/sec)",0.7,"Yes",NA,"Yes","Yes","None","Stereo",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,88,87,979968,"No","Yes","No","Yes","No",7221
"952","Canon PowerShot SX1 IS","598","Active","Yes","AA","SLR-like (bridge)","Yes","5.2","Yes",32,NA,"No","Yes","Yes","Optical","Yes","2.8","5.7","2.9",20,"Yes",230000,2.8,NA,"RAW","615","USB 2.0 (480 Mbit/sec)",4,"Yes",NA,"Yes","Yes","None","Stereo",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,88,88,991232,"No","Yes","Yes","Yes","No",7221
"953","Canon EOS 5D Mark II","598","Active","Yes","Battery Pack","Mid-size SLR","No",NA,"No",0,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",920000,3,22,"RAW","850","USB 2.0 (480 Mbit/sec)",3.9,"Yes",1,"Yes","No","None","Mono",98,4,0.71,NA,"Mono","25600","50",67,NA,NA,NA,152,114,75,1299600,"No","No","Yes","No","No",17952
"954","Canon EOS 50D","86","Active","Yes","Battery Pack","Mid-size SLR","Yes","13","No",0,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",920000,3,16,"RAW","822","USB 2.0 (480 Mbit/sec)",6.3,"Yes",1.6,"Yes","No","None","None",95,4,0.95,NA,NA,"12800",NA,12,NA,NA,NA,146,108,74,1166832,"No","No","Yes","No","No",12636
"955","Canon EOS 1000D (EOS Rebel XS / Kiss F Digital)","364","Active","Yes","Battery Pack","Compact SLR","Yes","13","No",0,NA,"No","Yes","No","No","Yes",NA,NA,NA,NA,"Yes",230000,2.5,11,"RAW","502","USB 2.0 (480 Mbit/sec)",3,"Yes",1.6,NA,NA,NA,NA,95,10,0.81,NA,NA,NA,NA,NA,NA,NA,NA,126,98,65,802620,"No","No","Yes","No","No",7040
"956","Canon EOS-1Ds Mark III","62","Active","Yes","Battery Pack","Large SLR","No",NA,"No",0,NA,"Yes","Yes","No","No","Yes",NA,NA,NA,NA,"Yes",230000,3,22,"RAW","1385","USB 2.0 (480 Mbit/sec)",5,"Yes",1,NA,NA,NA,"None",100,34,0.76,NA,NA,"3200","50",NA,NA,NA,NA,150,160,80,1920000,"No","No","Yes","No","No",17952
"957","Canon PowerShot A610","70","Active","Yes","AA","Compact","Yes","4.2","Yes",16,NA,"No","Yes","No","No","Yes","2.8","4.1","1.3",4,"Yes",115000,2,5,"No","285","USB 1.0 (1.5 Mbit/sec)",2.4,"Yes",NA,NA,NA,NA,"Mono",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,66,49,339570,"No","No","No","Yes","No",2205
