"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"142","Panasonic Lumix DMC-GF7","731","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","4","Yes",NA,NA,"No","No","Yes","No","Yes",NA,NA,NA,NA,"Yes",1040000,3,17,"RAW","266","USB 2.0 (480 Mbit/sec)",5.8,"Yes",2,"Yes","Yes","None","Stereo",NA,14,NA,NA,"Mono",NA,"100",30,"Built-In","No","No",107,65,33,229515,"Yes","Yes","Yes","Yes","No",13664
"143","Panasonic Lumix DMC-TS6 (Lumix DMC-FT6)","744","Active","No","Battery Pack","Compact","Yes","5.6","Yes",10,NA,"Yes","No","Yes","Optical","Yes","3.3","5.9","2.6",4.6,"Yes",460000,3,18,"No","214","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,14,NA,NA,"Mono","6400",NA,3,"Built-In","No","No",110,67,29,213730,"Yes","Yes","Yes","Yes","No",13899
"144","Panasonic Lumix DMC-TS30 (Lumix DMC-FT30)","744","Active","No","Battery Pack","Compact","Yes","4.4","Yes",220,NA,"Yes","No","No","Optical","Yes","3.9","5.7","1.8",4,"Yes",230000,2.7,17,"No","142","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,26,NA,"No","No",104,58,20,120640,"Yes","Yes","Yes","Yes","No",13899
"145","Panasonic Lumix DMC-SZ10","744","Active","No","Battery Pack","Compact","Yes","5.2","Yes",80,NA,"No","No","No","Optical","Yes","3.1","6.3","3.2",12,"Yes",460000,3,17,"No","177","USB 2.0 (480 Mbit/sec)",1.4,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,"Mono","6400",NA,8,"Built-In","No","No",99,60,30,178200,"Yes","Yes","Yes","Yes","No",13899
"146","Panasonic Lumix DMC-ZS45 (Lumix DMC-TZ57)","744","Active","Yes","Battery Pack","Compact","Yes","6","Yes",78,NA,"No","No","Yes","Optical","Yes","3.3","6.4","3.1",20,"Yes",1040000,3,18,"No","249","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Mono",NA,17,NA,NA,"Mono","6400",NA,7,"Built-In","No","No",108,60,32,207360,"Yes","Yes","Yes","Yes","No",13899
"147","Panasonic Lumix DMC-ZS50 (Lumix DMC-TZ70)","744","Active","Yes","Battery Pack","Compact","Yes","6.4","Yes",86,NA,"No","No","Yes","Optical","Yes","3.3","6.4","3.1",30,"Yes",1040000,3,13,"RAW","243","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",100,14,0.46,1166000,"Mono",NA,NA,14,"Built-In","No","No",111,65,34,245310,"Yes","Yes","Yes","Yes","No",9100
"148","Panasonic Lumix DMC-LX100","848","Active","Yes","Battery Pack","Large sensor compact","No","7","Yes",NA,NA,"No","Yes","Yes","Optical","Yes","1.7","2.8","1.1",3.1,"Yes",921000,3,17,"RAW","393","USB 2.0 (480 Mbit/sec)",11,"Yes",NA,"Yes","No","None","Stereo",100,16,1.39,2764000,"Mono",NA,"100",14,"Built-In","No","No",115,66,55,417450,"Yes","Yes","Yes","Yes","No",10080
"149","Panasonic Lumix DMC-GM5","848","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes",NA,NA,NA,NA,"No","Yes","Yes","No","Yes",NA,NA,NA,NA,NA,921000,3,17,"RAW","211","USB 2.0 (480 Mbit/sec)",5.8,"Yes",2,"Yes","Yes","None","Stereo",100,14,0.92,1166000,"Mono",NA,"100",2,"Built-In","No","No",99,60,36,213840,"Yes","Yes","Yes","Yes","No",13664
"150","Panasonic Lumix DMC-FZ1000","771","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","13.5","Yes",NA,NA,"No","Yes","Yes","Optical","Yes","2.8","4","1.2",16,"Yes",921000,3,21,"RAW","831","USB 2.0 (480 Mbit/sec)",12,"Yes",NA,"Yes","Yes","None","Stereo",100,16,0.7,2359000,"Mono","25600","80",6,"Built-In","No","Yes",137,99,131,1776753,"Yes","Yes","Yes","Yes","No",17028
"151","Panasonic Lumix DMC-GH4","716","Active","Yes","Battery Pack","SLR-style mirrorless","Yes","17","Yes",NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",1036000,3,17,"RAW","560","USB 2.0 (480 Mbit/sec)",12,"Yes",2,"Yes","No","None","Stereo",100,16,0.67,2359000,"Mono",NA,"100",23,"Built-In","Yes","Yes",133,93,84,1038996,"Yes","Yes","Yes","Yes","No",13899
"153","Panasonic Lumix DMC-ZS40 (Lumix DMC-TZ60)","746","Active","Yes","Battery Pack","Compact","Yes","6.4","Yes",12,NA,"No","No","Yes","Optical","Yes","3.3","6.4","3.1",30,"Yes",920000,3,19,"RAW","240","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",100,14,NA,2e+05,"Mono","6400",NA,14,"Built-In",NA,NA,111,64,34,241536,"Yes","Yes","Yes","Yes","No",15470
"154","Panasonic Lumix DMC-SZ8","746","Active","No","Battery Pack","Compact","Yes","5.2","Yes",80,NA,"No","No","No","Optical","Yes","3.1","6.3","3.2",12,"Yes",460000,3,17,"No","159","USB 2.0 (480 Mbit/sec)",1.2,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,"Mono","6400",NA,8,"Built-In",NA,NA,100,60,27,162000,"Yes","Yes","Yes","Yes","No",13899
"155","Panasonic Lumix DMC-LZ40","746","Active","No","Battery Pack","SLR-like (bridge)","Yes","10.8","Yes",NA,NA,"No","No","No","Optical","Yes","3","6.5","3.5",42,"Yes",460000,3,21,"No","524","USB 2.0 (480 Mbit/sec)",1.1,"Yes",NA,"Yes","Yes","None","Mono",NA,4,NA,NA,"Mono","6400",NA,10,NA,NA,NA,126,87,94,1030428,"Yes","Yes","Yes","Yes","No",16750
"156","Panasonic Lumix DMC-GM1","832","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","4",NA,NA,NA,"No","No","Yes",NA,"Yes",NA,NA,NA,NA,NA,1036000,3,17,"RAW","204","USB 2.0 (480 Mbit/sec)",5,"Yes",2,"Yes","Yes","None","Stereo",NA,14,NA,NA,"Mono",NA,"125",30,"Built-In",NA,NA,99,55,30,163350,"Yes","Yes","Yes","Yes","No",13664
"157","Panasonic Lumix DMC-GX7","36","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","7","Yes",NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1040000,3,17,"RAW","402","USB 2.0 (480 Mbit/sec)",5,"Yes",2,"Yes","Yes","None","Stereo",100,14,1.39,2764800,"Mono",NA,"125",7,"Built-In",NA,NA,123,71,55,480315,"Yes","Yes","Yes","Yes","No",13664
"158","Panasonic Lumix DMC-FZ70","323","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","13.5","Yes",200,NA,"No","Yes","Yes","Optical","Yes","2.8","5.9","3.1",60,"Yes",460000,3,17,"RAW","606","USB 2.0 (480 Mbit/sec)",9,"Yes",NA,"Yes","Yes","None","Stereo",100,14,NA,202000,"Mono","6400",NA,1,NA,NA,NA,130,97,118,1487980,"Yes","Yes","Yes","Yes","No",13899
"159","Panasonic Lumix DMC-G6","19","Active","Yes","Battery Pack","SLR-style mirrorless","Yes","10.5","No",NA,NA,"No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"Yes",1036000,3,18,"RAW","390","USB 2.0 (480 Mbit/sec)",7,"Yes",2,"Yes","Yes","None","Stereo",100,14,1.4,1440000,"Mono",NA,NA,18,"Built-In",NA,NA,122,85,71,736270,"Yes","Yes","Yes","Yes","No",13899
"160","Panasonic Lumix DMC-LF1","19","Active","Yes","Battery Pack","Compact","Yes","7","Yes",87,NA,"No",NA,"Yes","Optical","Yes","2","5.9","3.9",7.1,NA,920000,3,13,"RAW","192","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,NA,NA,NA,"Mono","12800",NA,26,"Built-In",NA,NA,103,62,28,178808,"Yes","Yes","Yes","Yes","No",9100
"161","Panasonic Lumix DMC-GF6","32","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6.3",NA,NA,NA,"No",NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA,1040000,3,17,"RAW","323","USB 2.0 (480 Mbit/sec)",4.2,"Yes",2,"Yes","Yes","None","Stereo",NA,NA,NA,NA,"Mono","25600",NA,18,"Built-In",NA,NA,111,65,38,274170,"Yes","Yes","Yes","Yes","No",13664
"162","Panasonic Lumix DMC-ZS30 (Lumix DMC-TZ40)","296","Active","Yes","Battery Pack","Compact","Yes","6.4","Yes",12,NA,"No","No","Yes","Optical","Yes","3.3","6.4","3.1",20,"Yes",920000,3,19,"No","198","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,14,NA,NA,"Mono","6400",NA,35,"Built-In",NA,NA,105,59,28,173460,"Yes","Yes","Yes","Yes","No",15470
"163","Panasonic Lumix DMC-TS5 (Lumix DMC-FT5)","296","Active","No","Battery Pack","Compact","Yes","5.6","Yes",15,NA,"Yes","No","Yes","Optical","Yes","3.3","5.9","2.6",4.6,"Yes",460000,3,18,"No","214","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,14,NA,NA,"Mono","6400",NA,3,"Built-In",NA,NA,110,67,29,213730,"Yes","Yes","Yes","Yes","No",13899
"164","Panasonic Lumix DMC-XS1","296","Active","No","Battery Pack","Compact","Yes","4.4","Yes",90,NA,NA,"No","No","Optical","Yes","2.8","6.9","4.1",5,NA,230000,2.7,17,"Unknown","103","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,35,NA,NA,NA,94,54,14,71064,"No","No","No","No","No",13899
"165","Panasonic Lumix DMC-LZ30","750","Active","No","AA","SLR-like (bridge)","Yes","4.4","Yes",100,NA,NA,"No","No","Optical","Yes","3","5.9","2.9",35,NA,460000,3,16,"Unknown","552","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"Yes","Yes","None","Mono",NA,NA,NA,NA,"Mono","6400",NA,13,NA,NA,NA,124,84,92,958272,"No","No","No","No","No",13899
"166","Panasonic Lumix DMC-SZ3","296","Active","No","Battery Pack","Compact","Yes","4.1","Yes",90,NA,NA,"No","No","Optical","Yes","3.1","5.9","2.8",10,NA,230000,2.7,17,"Unknown","126","USB 2.0 (480 Mbit/sec)",1.4,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono",NA,NA,26,NA,NA,NA,95,56,22,117040,"No","No","No","No","No",13899
"167","Panasonic Lumix DMC-FH10","750","Active","No","Battery Pack","Compact","Yes","4.4","Yes",90,NA,NA,"No","No","Optical","Yes","2.8","6.9","4.1",5,NA,230000,2.7,17,"Unknown","103","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,35,NA,NA,NA,94,54,18,91368,"No","No","No","No","No",13899
"168","Panasonic Lumix DMC-F5","750","Active","No","Battery Pack","Compact","Yes","5.7","Yes",90,NA,NA,"No","No",NA,"Yes","3.2","6.5","3.3",5,NA,230000,2.7,15,"Unknown","121","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,26,NA,NA,NA,97,58,22,123772,"No","No","No","No","No",11648
"169","Panasonic Lumix DMC-ZS25 (Lumix DMC-TZ35)","296","Active","Yes","Battery Pack","Compact","Yes","6.4","Yes",12,NA,"No","No","Yes","Optical","Yes","3.3","6.4","3.1",20,"Yes",460000,3,18,"No","193","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,14,NA,NA,"Mono","6400",NA,35,NA,NA,NA,105,59,28,173460,"Yes","Yes","Yes","Yes","No",15470
"170","Panasonic Lumix DMC-TS25 (Lumix DMC-FT25)","296","Active","No","Battery Pack","Compact","Yes","4.4","Yes",70,NA,"Yes","No","No","Optical","Yes","3.9","5.7","1.8",4,"Yes",230000,2.7,17,"No","144","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,26,NA,NA,NA,104,58,20,120640,"Yes","Yes","Yes","Yes","No",13899
"171","Panasonic Lumix DMC-GH3","600","Active","Yes","Battery Pack","SLR-style mirrorless","Yes","12","Yes",0,NA,"Yes","Yes","Yes","Optical","Yes",NA,NA,NA,NA,"Yes",614000,3,17,"RAW","550","USB 2.0 (480 Mbit/sec)",20,"Yes",2,"Yes","Yes","None","Stereo",100,14,1.34,1744000,"Mono","25600",NA,37,"Built-In",NA,NA,133,93,82,1014258,"Yes","Yes","Yes","Yes","No",13899
"172","Panasonic Lumix DMC-LX7","322","Active","Yes","Battery Pack","Compact","Yes","8.5","Yes",70,NA,"No","Yes","Yes","Optical","Yes","1.4","2.3","0.9",3.8,"Yes",920000,3,13,"RAW","298","USB 2.0 (480 Mbit/sec)",11,"Yes",NA,"Yes","Yes","None","Stereo",NA,14,NA,NA,"Mono","12800",NA,20,NA,NA,NA,111,68,46,347208,"Yes","Yes","Yes","Yes","No",7221
"173","Panasonic Lumix DMC-G5","322","Active","Yes","Battery Pack","SLR-style mirrorless","Yes","10.5","Yes",0,NA,"No","Yes","Yes","Optical","Yes",NA,NA,NA,NA,"Yes",920000,3,18,"RAW","396","USB 2.0 (480 Mbit/sec)",6,"Yes",2,"Yes","Yes","None","Stereo",100,14,1.4,1440000,"Mono",NA,NA,10,NA,NA,NA,120,83,71,707160,"Yes","Yes","Yes","Yes","No",13899
"174","Panasonic Lumix DMC-FZ200","322","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","13.5","Yes",70,NA,"No","Yes","Yes","Optical","Yes","2.8","2.8","0",24,"Yes",460000,3,13,"RAW","588","USB 2.0 (480 Mbit/sec)",12,"Yes",NA,"Yes","Yes","None","Stereo",100,14,NA,1312000,"Mono","6400",NA,37,NA,NA,NA,125,87,110,1196250,"Yes","Yes","Yes","Yes","No",9100
"175","Panasonic Lumix DMC-FZ60 (Lumix DMC-FZ62)","322","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","13.5","Yes",70,NA,"No","No","Yes","Optical","Yes","2.8","5.2","2.4",24,"Yes",460000,3,18,"No","493","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",100,14,NA,202000,"Mono","6400",NA,25,NA,NA,NA,120,81,92,894240,"Yes","Yes","Yes","Yes","No",13899
"176","Panasonic Lumix DMC-LZ20","322","Active","No","Battery Pack","SLR-like (bridge)","Yes","6.8","Yes",109,NA,"No","No","No","Optical","Yes","3.1","5.8","2.7",21,NA,460000,3,16,"No","499","USB 2.0 (480 Mbit/sec)",1.2,"Yes",NA,"Yes","Yes","None","Mono",NA,4,NA,NA,"Mono","6400",NA,13,NA,NA,NA,120,76,80,729600,"Yes","Yes","Yes","Yes","No",13899
"177","Panasonic Lumix DMC-SZ5","322","Active","No","Battery Pack","Compact","Yes","5.6","Yes",55,NA,"No","No","No","Optical","Yes","3.1","5.9","2.8",10,NA,230000,3,15,"No","136","USB 2.0 (480 Mbit/sec)",1.5,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,26,"Built-In",NA,NA,104,58,21,126672,"Yes","Yes","Yes","Yes","No",11648
"178","Panasonic Lumix DMC-GF5","29","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6.3","Yes",0,NA,"No","No","Yes","Optical","Yes",NA,NA,NA,NA,"Yes",920000,3,13,"RAW","267","USB 2.0 (480 Mbit/sec)",4,"Yes",2,"Yes","Yes","None","Stereo",NA,14,NA,NA,"Mono",NA,NA,6,NA,NA,NA,108,67,37,267732,"Yes","Yes","Yes","Yes","No",9100
"179","Panasonic Lumix DMC-ZS20 (Lumix DMC-TZ30)","272","Active","Yes","Battery Pack","Compact","Yes","6.4","Yes",12,NA,"No","No","Yes","Optical","Yes","3.3","6.4","3.1",20,"Yes",460000,3,15,"No","206","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,14,NA,NA,"Mono","6400",NA,35,NA,NA,NA,105,59,28,173460,"Yes","Yes","Yes","Yes","No",11648
"180","Panasonic Lumix DMC-TS20 (Lumix DMC-FT20)","272","Active","No","Battery Pack","Compact","Yes","4.4","Yes",70,NA,"Yes","No","No","Optical","Yes","3.9","5.7","1.8",4,"Yes",230000,2.7,17,"No","142","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,26,NA,NA,NA,101,58,19,111302,"Yes","Yes","Yes","Yes","No",13899
"181","Panasonic Lumix DMC-TS4 (Lumix DMC-FT4)","272","Active","No","Battery Pack","Compact","Yes","5.6","Yes",20,NA,"Yes","No","Yes","Optical","Yes","3.3","5.9","2.6",4.6,"Yes",230000,2.7,13,"No","197","USB 2.0 (480 Mbit/sec)",3.7,"Yes",NA,"Yes","Yes","BuiltIn","Mono",NA,14,NA,NA,"Mono","6400",NA,39,NA,NA,NA,103,64,27,177984,"Yes","Yes","Yes","Yes","No",9100
"182","Panasonic Lumix DMC-ZS15 (Lumix DMC-TZ25)","272","Active","Yes","Battery Pack","Compact","Yes","6.4","Yes",70,NA,"No","No","Yes","Optical","Yes","3.3","5.9","2.6",16,"Yes",460000,3,13,"No","208","USB 2.0 (480 Mbit/sec)",1.9,"Yes",NA,"Yes","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,35,NA,NA,NA,105,58,33,200970,"Yes","Yes","Yes","Yes","No",9100
"183","Panasonic Lumix DMC-SZ7","308","Active","No","Battery Pack","Compact","Yes","5.6","Yes",70,NA,"No","No","Yes","Optical","Yes","3.1","5.9","2.8",10,"Yes",460000,3,15,"No","133","USB 2.0 (480 Mbit/sec)",NA,"Yes",NA,"No","Yes","None","Stereo",NA,14,NA,NA,"Mono","6400",NA,2,NA,NA,NA,99,59,21,122661,"Yes","Yes","Yes","Yes","No",11648
"184","Panasonic Lumix DMC-SZ1","308","Active","No","Battery Pack","Compact","Yes","5.6","Yes",70,NA,"No","No","No","Optical","Yes","3.1","5.9","2.8",10,"Yes",230000,3,17,"No","131","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,26,NA,NA,NA,99,59,21,122661,"Yes","Yes","Yes","Yes","No",13899
"185","Panasonic Lumix DMC-FH8","308","Active","No","Battery Pack","Compact","Yes","5.6","Yes",70,NA,"No","No","No","Optical","Yes","2.5","6.4","3.9",5,"Yes",230000,3,17,"No","123","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,35,NA,NA,NA,96,57,19,103968,"Yes","Yes","Yes","Yes","No",13899
"186","Panasonic Lumix DMC-FH6","308","Active","No","Battery Pack","Compact","Yes","4.6","Yes",10,NA,"No","No","No","Optical","Yes","2.5","6.4","3.9",5,"Yes",230000,2.7,15,"No","119","USB 2.0 (480 Mbit/sec)",1.5,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,"Mono","6400",NA,5,NA,NA,NA,96,56,20,107520,"No","Yes","No","Yes","No",11648
"187","Panasonic Lumix DMC-S2","308","Active","No","Battery Pack","Compact","Yes","3.3","Yes",70,NA,"No","No","No","Optical","Yes","3.1","6.5","3.4",4,"Yes",230000,2.7,15,"No","112","USB 2.0 (480 Mbit/sec)",1.5,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,"Mono","6400",NA,5,NA,NA,NA,98,57,21,117306,"No","Yes","No","Yes","No",11648
"188","Panasonic Lumix DMC-GX1","529","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","7.6","Yes",0,NA,"No","Yes","Yes","Optical","Yes",NA,NA,NA,NA,"Yes",460000,3,17,"RAW","318","USB 2.0 (480 Mbit/sec)",4.2,"Yes",2,"Yes","Yes","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,116,68,39,307632,"Yes","Yes","Yes","Yes","No",13664
"189","Panasonic Lumix DMC-3D1","529","Active","No","Battery Pack","Compact","Yes","3.5","Yes",70,NA,NA,"No","Yes","Optical","Yes","3.9","5.7","1.8",4,NA,460000,3.5,13,"No","193","USB 2.0 (480 Mbit/sec)",NA,"Yes",NA,"No","Yes","None","Stereo",NA,14,NA,NA,NA,"6400","1600",8,NA,NA,NA,108,58,24,150336,"Yes","Yes","Yes","Yes","No",9100
"190","Panasonic Lumix DMC-FZ150","88","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","9.5","Yes",70,NA,"No","Yes","Yes","Optical","Yes","2.8","5.2","2.4",24,"Yes",460000,3,13,"RAW","528","USB 2.0 (480 Mbit/sec)",12,"Yes",NA,"Yes","Yes","None","Stereo",100,14,NA,NA,"None",NA,NA,40,NA,NA,NA,124,82,92,935456,"Yes","Yes","Yes","Yes","No",9100
"191","Panasonic Lumix DMC-FX90","88","Active","No","Battery Pack","Compact","Yes","5.9","Yes",40,NA,"No","No","Yes","Optical","Yes","2.5","5.9","3.4",5,"Yes",460000,3,13,"No","149","USB 2.0 (480 Mbit/sec)",3.7,"Yes",NA,"No","Yes","None","Mono",NA,14,NA,NA,NA,"6400","1600",8,"Built-In",NA,NA,102,56,22,125664,"Yes","Yes","Yes","Yes","No",9100
"192","Panasonic Lumix DMC-FZ47 (Lumix DMC-FZ48)","332","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","9.5","Yes",70,NA,"No","No","Yes","Optical","Yes","2.8","5.2","2.4",24,"Yes",460000,3,13,"No","498","USB 2.0 (480 Mbit/sec)",3.7,"Yes",NA,"Yes","Yes","None","Stereo",100,14,NA,NA,"Mono","6400",NA,1,NA,NA,NA,120,80,92,883200,"Yes","Yes","Yes","Yes","No",9100
"193","Panasonic Lumix DMC-LS5","332","Active","No","AA","Compact","Yes","4.6","Yes",10,NA,"No","No","No","Optical","Yes","2.8","6.5","3.7",5,"Yes",230000,2.7,15,"No","126","USB 2.0 (480 Mbit/sec)",0.8,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,NA,"6400",NA,41,NA,NA,NA,97,62,27,162378,"No","Yes","No","Yes","No",11648
"194","Panasonic Lumix DMC-GF3","371","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6.3","Yes",0,NA,"No","No","Yes","Optical","Yes",NA,NA,NA,NA,"No",460000,3,13,"RAW","264","USB 2.0 (480 Mbit/sec)",3.2,"Yes",2,"Yes","Yes","None","Mono",NA,14,NA,NA,"None",NA,NA,14,NA,NA,NA,108,67,32,231552,"Yes","Yes","Yes","Yes","No",9100
"195","Panasonic Lumix DMC-G3","469","Active","Yes","Battery Pack","SLR-style mirrorless","Yes","11","Yes",0,NA,"No","Yes","Yes","Optical","Yes",NA,NA,NA,NA,"No",460000,3,17,"RAW","336","USB 2.0 (480 Mbit/sec)",4,"Yes",2,"Yes","Yes","None","Stereo",100,NA,1.4,1440000,"None",NA,NA,NA,NA,NA,NA,115,84,47,454020,"Yes","Yes","Yes","Yes","No",13664
"196","Panasonic Lumix DMC-FH7 (Lumix DMC-FS22 / Lumix DMC-FS22)","469","Active","No","Battery Pack","Compact","Yes","3.3","Yes",70,NA,"No","No","No","Optical","Yes","3.1","6.5","3.4",4,"Yes",230000,3,17,"No","126","USB 2.0 (480 Mbit/sec)",4.4,"Yes",NA,"No","Yes","None","Mono",NA,18,NA,NA,NA,"6400","1600",35,NA,NA,NA,95,56,19,101080,"Yes","Yes","Yes","Yes","No",13899
"197","Panasonic Lumix DMC-FX78 (Lumix DMC-FX77)","248","Active","No","Battery Pack","Compact","Yes","5.6","Yes",70,NA,"No","No","Yes","Optical","Yes","2.5","5.9","3.4",5,"Yes",230000,3.5,13,"No","142","USB 2.0 (480 Mbit/sec)",3.7,"Yes",NA,"No","Yes","None","Stereo",NA,18,NA,NA,NA,"6400","1600",8,NA,NA,NA,100,55,21,115500,"Yes","Yes","Yes","Yes","No",9100
"198","Panasonic Lumix DMC-ZS10 (Lumix DMC-TZ20 / Lumix DMC-TZ22)","248","Active","Yes","Battery Pack","Compact","Yes","5","Yes",18,NA,"No","No","Yes","Optical","Yes","3.3","5.9","2.6",16,"Yes",460000,3,15,"No","219","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",NA,14,NA,NA,NA,"6400","3200",35,NA,NA,NA,105,58,33,200970,"Yes","Yes","Yes","Yes","No",11648
"199","Panasonic Lumix DMC-ZS8 (Lumix DMC-TZ18)","248","Active","Yes","Battery Pack","Compact","Yes","5","Yes",70,NA,"No","No","Yes","Optical","Yes","3.3","5.9","2.6",16,"Yes",230000,3,15,"No","210","USB 2.0 (480 Mbit/sec)",1.9,"Yes",NA,"Yes","Yes","None","Stereo",NA,18,NA,NA,NA,"6400","3200",18,NA,NA,NA,105,58,33,200970,"Yes","Yes","Yes","Yes","No",11648
"200","Panasonic Lumix DMC-TS3 (Lumix DMC-FT3)","248","Active","No","Battery Pack","Compact","Yes","5.6","Yes",19,NA,"Yes",NA,"Yes","Optical","Yes","3.3","5.9","2.6",4.6,"Yes",230000,2.7,13,"No","197","USB 2.0 (480 Mbit/sec)",3.7,"Yes",NA,"No","Yes","BuiltIn","Mono",NA,18,NA,NA,NA,"6400","1600",39,NA,NA,NA,103,64,27,177984,"Yes","Yes","Yes","Yes","No",9100
"201","Panasonic Lumix DMC-FH2 (Lumix DMC-FS16)","283","Active","No","Battery Pack","Compact","Yes","3.3","Yes",70,NA,"No","No","No","Optical","Yes","3.1","6.5","3.4",4,"Yes",230000,2.7,15,"No","121","USB 2.0 (480 Mbit/sec)",4.4,"Yes",NA,"No","Yes","None","Mono",NA,18,NA,NA,NA,"6400","1600",21,NA,NA,NA,94,54,19,96444,"Yes","Yes","Yes","Yes","No",11648
"202","Panasonic Lumix DMC-FH5 (Lumix DMC-FS18)","283","Active","No","Battery Pack","Compact","Yes","3.3","Yes",70,NA,"No","No","No","Optical","Yes","3.1","6.5","3.4",4,"Yes",230000,2.7,17,"No","121","USB 2.0 (480 Mbit/sec)",4.4,"Yes",NA,"No","Yes",NA,"Mono",NA,18,NA,NA,NA,"6400","1600",35,NA,NA,NA,94,54,19,96444,"Yes","Yes","Yes","Yes","No",13899
"203","Panasonic Lumix DMC-FH25 (Lumix DMC-FS35)","283","Active","No","Battery Pack","Compact","Yes","5.8","Yes",70,NA,"No","No","No","Optical","Yes","3.3","5.9","2.6",8,"Yes",230000,2.7,17,"No","159","USB 2.0 (480 Mbit/sec)",4.4,"Yes",NA,"No","Yes","None","Mono",NA,18,NA,NA,"None","6400","1600",26,NA,NA,NA,99,57,28,158004,"No","Yes","Yes","Yes","No",13899
